"","","","","","","","","","","",""
"","Imports, CIF from Partner Countries","","","","","","","","","",""
"","","","","","","","","","","",""
"","World","","","","","","","","","",""
"","US Dollars, Millions","","","","","","","","","",""
"","","","","","","","","","","",""
"","Liberia","919.23","1,056.04","1,268.07","1,395.59","1,484.67","1,673.58","1,084.96","1,375.63","1,453.62","2,014.06"
"","Madagascar, Rep. of","1,226.28","1,874.37","1,771.00","2,148.00","2,433.89","2,467.64","2,720.88","3,509.83","3,896.62","3,533.16"
"","Malawi","1,082.45","1,265.37","1,182.78","1,091.50","1,087.47","965.29","948.91","956.34","987.22","1,061.69"
"","Mali","669.44","1,001.28","2,608.93","3,000.91","3,261.77","3,646.22","2,790.28","1,649.42","3,195.29","5,253.38"
"","Mauritius","2,140.03","2,392.12","2,528.07","2,799.34","2,734.59","2,983.44","2,577.21","2,451.46","2,786.87","2,705.01"
"","Mozambique, Rep. of","3,226.55","4,053.90","4,824.52","5,221.21","6,202.50","4,534.26","4,374.58","6,223.70","6,923.31","6,177.87"
"","Namibia","3,945.49","4,740.73","4,731.55","4,793.53","4,586.38","4,043.11","3,357.38","4,594.77","5,761.20","4,665.35"
"","Niger","334.15","801.02","997.90","1,190.07","900.27","1,018.81","735.90","777.65","695.22","1,015.72"
"","Nigeria","82,391.36","114,186.95","113,178.29","101,855.52","99,381.28","55,378.51","37,557.12","47,824.22","65,246.67","59,992.63"
"","Rwanda","209.86","360.16","339.28","369.30","403.96","405.47","464.30","626.50","1,051.04","849.02"
"","São Tomé and Príncipe, Dem. Rep. of","19.96","18.16","13.98","8.36","18.30","13.64","20.98","497.84","714.36","481.46"
"","Senegal","1,871.94","2,606.83","2,629.51","2,685.73","2,865.77","3,064.37","3,071.91","3,587.17","4,017.46","4,053.90"
"","Seychelles","394.25","395.32","443.24","569.61","531.99","478.46","578.95","648.17","747.67","695.63"
"","Sierra Leone","322.79","410.73","1,002.53","1,846.52","2,263.40","628.93","647.71","956.42","772.97","802.10"
"","South Africa","100,501.55","141,761.15","147,319.09","143,423.38","138,261.54","101,403.76","103,375.92","114,728.48","127,158.07","124,068.49"
"","South Sudan, Rep. of","","274.96","147.47","2,459.38","4,330.14","2,324.59","1,458.38","1,334.48","1,686.22","1,707.01"
"","Tanzania, United Rep. of","3,193.74","4,300.04","5,451.99","5,615.98","5,400.20","5,227.53","5,384.72","7,184.24","6,951.04","6,483.66"
"","Togo","1,385.40","1,959.28","2,838.51","2,954.79","3,020.15","2,726.63","2,327.35","3,380.09","3,742.47","3,083.10"
